Seminyak,Town,Badung,Rp.0,5.0,0,https://goo.gl/maps/J4eE5xG5TeZ2Xy1FA,https://photos.app.goo.gl/dG9QCtvne7n2cs658,,
Bajra Sandhi,City Park and Monument,Denpasar,Rp.0,44716,12047,https://goo.gl/maps/r2r5UVmqtuE37y228,https://photos.app.goo.gl/PUshQ1WuYjqa72Lq9,361264517,
Taman Lumintang,City Park,Denpasar,Rp.0,44685,8896,https://goo.gl/maps/fEDJ81yHLwLR7E5W8,https://photos.app.goo.gl/erDnh6oRmgCkLgju9,,
Werdhi Budaya Art Centre,City Park,Denpasar,Rp.0,44716,7439,https://goo.gl/maps/VLuiAP6LDru3dBCE9,https://photos.app.goo.gl/1vGhx2ztLTzrYoa36,361227176,
Legian Kuta,Town,Badung,Rp.0,5.0,0,https://goo.gl/maps/QVGK7LwwAdAzLnnV7,https://photos.app.goo.gl/B8Hs93ga6a49u7CV6,,
Taman Kota Br. Buagan,City Park,Denpasar,Rp.0,44655,8,https://goo.gl/maps/udmk6QMywH5hxaWYA,https://photos.app.goo.gl/QjU7rwDCmRUPCfn79,,
Taman Kota Singaraja,City Park,Singaraja,Rp.0,44685,4494,https://goo.gl/maps/VmzprcA1wi9Lv7Pt9,https://photos.app.goo.gl/mZJyUkxEGM6mfMvR6,,
Taman Kota Klungkung,City Park,Klungkung,Rp.0,44655,137,https://goo.gl/maps/11g4xsEZv1iBaMwa8,https://photos.app.goo.gl/Qja7DWtaULGG7yPx8,,
Taman Kota Ciung Wanara Gianyar,City Park,Gianyar,Rp.0,44685,1430,https://goo.gl/maps/KLtNAxDsHdDAeHvh6,https://photos.app.goo.gl/5iceFam5PtBaoLSv6,,
Niti Mandala Renon Field ,City Park,Denpasar,Rp.0,44716,5698,https://goo.gl/maps/RvW2weyPxWAgYc1s6,https://photos.app.goo.gl/h4vNsWCvCxL5Qd97A,,
YOUTH PARK,City Park,Denpasar,Rp.0,44655,122,https://goo.gl/maps/ZxPdduKnbHYF1HMp6,https://photos.app.goo.gl/FN8TkF1pNsmSifbj7,,
Kumbasari Park,City Park,Denpasar,Rp.0,44655,76,https://goo.gl/maps/u7q26GVWk822pSDf8,https://photos.app.goo.gl/JALuYNXQ3LL3ujCB9,,
Taman Festival Bali Padang Galak,City Park and Ghost Park,Denpasar,Rp.0,44624,1235,https://goo.gl/maps/6Ya8yr9NZShkHXUj8,https://photos.app.goo.gl/5D9PbJSa5bZdtt9EA,,
Taman Pecangakan - Negara,City Park,Jembrana,Rp.0,44655,950,https://goo.gl/maps/2i9KuvWLXMfGHnbQ7,https://photos.app.goo.gl/9MMdKgS4Q4PV84HS7,,
Taman Agung Proklamasi,City Park,Denpasar,Rp.0,5.0,1168,https://goo.gl/maps/SN2HxqkfxpM4cX4x5,https://photos.app.goo.gl/GTyigGkcMC4w6GEL8,,

